time,value
0,328
249,328
500,327
750,327
1001,326
1252,326
1502,326
1753,326
2002,325
2253,323
2504,323
2754,322
3005,322
3255,320
3506,321
3757,320
4006,319
4257,319
4508,318
4758,318
5009,317
5259,316
5510,315
5761,315
6010,314
6261,314
6512,314
6762,313
7013,312
7263,312
7514,311
7764,311
8014,310
8265,309
8515,309
8766,308
9017,308
9267,308
9518,307
9768,307
10018,306
10269,305
10520,305
10770,304
11021,303
11271,302
11522,301
11772,301
12022,300
12273,299
12524,299
12774,298
13025,298
13276,297
13526,297
13776,296
14027,293
14277,295
14528,293
14779,293
15029,292
15280,291
15531,290
15780,289
16031,289
16282,288
16532,287
16783,286
17034,286
17284,285
17534,285
17785,284
18035,283
18286,281
18537,281
18787,280
19038,279
19289,278
19538,277
19789,277
20040,277
20290,276
20541,275
20792,275
21042,274
21293,273
21543,272
21793,273
22044,271
22295,271
22545,270
22796,269
23047,269
23297,268
23547,268
23797,267
24048,266
24299,267
24549,266
24800,266
25051,265
25300,265
25551,265
25802,264
26052,264
26303,263
26554,263
26804,263
27055,263
27305,262
27555,263
27806,262
28057,261
28307,261
28558,261
28809,260
29059,260
29309,260
29560,259
29810,259
30061,258
30312,258
30562,257
30813,257
31064,256
31313,256
31564,255
31815,256
32065,255
32316,255
32567,254
32817,254
33068,253
33318,253
33568,253
33819,252
34070,252
34320,251
34571,252
34822,251
35072,251
35322,250
35573,250
35823,249
36074,249
36324,249
36575,249
36826,248
37075,248
37326,248
37577,248
37827,247
38078,246
38329,247
38579,246
38830,246
39080,245
39330,245
39581,245
39832,244
40082,244
40333,244
40584,244
40834,243
41084,243
41335,242
41585,243
41836,243
42087,242
42337,241
42588,241
42839,241
43088,241
43339,240
43590,241
43840,241
44091,240
44342,240
44592,241
44843,241
45093,239
45343,240
45594,240
45845,239
46095,240
46346,239
46597,239
46846,239
47097,239
47348,239
47598,239
47849,239
48100,239
48350,239
48601,239
48851,239
49101,239
49352,239
49602,239
49853,239
