time,value
0,212
249,211
500,212
750,212
1001,212
1252,211
1502,212
1753,211
2002,212
2253,211
2504,211
2754,211
3005,212
3255,212
3506,212
3757,211
4006,212
4257,211
4508,211
4758,209
5009,211
5259,211
5510,211
5761,211
6010,211
6261,211
6512,211
6762,211
7013,212
7263,211
7514,211
7764,211
8014,211
8265,210
8515,211
8766,211
9017,211
9267,211
9518,211
9768,211
10018,210
10269,211
10520,210
10770,211
11021,210
11271,211
11522,211
11772,211
12022,211
12273,211
12524,210
12774,210
13025,210
13276,211
13526,210
13776,210
14027,211
14277,211
14528,210
14779,210
15029,211
15280,211
15531,211
15780,211
16031,211
16282,210
16532,211
16783,210
17034,210
17284,210
17534,211
17785,210
18035,211
18286,210
18537,210
18787,210
19038,210
19289,210
19538,211
19789,210
20040,210
20290,210
20541,210
20792,211
21042,210
21293,211
21543,210
21793,210
22044,210
22295,210
22545,210
22796,211
23047,210
23297,210
23547,211
23797,210
24048,210
24299,211
24549,210
24800,210
25051,210
25300,210
25551,210
25802,210
26052,210
26303,211
26554,210
26804,210
27055,210
27305,210
27555,210
27806,208
28057,210
28307,210
28558,210
28809,209
29059,210
29309,209
29560,209
29810,210
30061,210
30312,208
30562,210
30813,210
31064,210
31313,209
31564,210
31815,209
32065,210
32316,210
32567,210
32817,209
33068,209
33318,209
33568,209
33819,209
34070,209
34320,210
34571,209
34822,209
35072,209
35322,210
35573,209
35823,210
36074,209
36324,210
36575,209
36826,210
37075,208
37326,209
37577,210
37827,209
38078,209
38329,209
38579,210
38830,209
39080,209
39330,210
39581,210
39832,209
40082,209
40333,209
40584,209
40834,209
41084,209
41335,209
41585,209
41836,209
42087,209
42337,210
42588,209
42839,209
43088,208
43339,209
43590,209
43840,209
44091,208
44342,209
44592,209
44843,209
45093,209
45343,208
45594,209
45845,209
46095,208
46346,209
46597,208
46846,209
47097,208
47348,209
47598,208
47849,209
48100,209
48350,209
48601,208
48851,209
49101,208
49352,209
49602,209
49853,209
