time,value
0,139
249,138
500,139
750,137
1001,139
1252,138
1502,138
1753,138
2002,139
2253,137
2504,138
2754,138
3005,138
3255,137
3506,138
3757,138
4006,138
4257,137
4508,138
4758,137
5009,137
5259,138
5510,137
5761,137
6010,138
6261,138
6512,137
6762,137
7013,138
7263,137
7514,137
7764,138
8014,138
8265,137
8515,137
8766,138
9017,137
9267,137
9518,138
9768,138
10018,138
10269,137
10520,137
10770,138
11021,138
11271,138
11522,137
11772,138
12022,138
12273,138
12524,137
12774,137
13025,137
13276,137
13526,136
13776,137
14027,137
14277,137
14528,138
14779,137
15029,138
15280,137
15531,138
15780,138
16031,138
16282,137
16532,138
16783,136
17034,137
17284,138
17534,137
17785,137
18035,137
18286,137
18537,137
18787,138
19038,138
19289,138
19538,136
19789,137
20040,137
20290,137
20541,137
20792,137
21042,137
21293,137
21543,138
21793,138
22044,137
22295,138
22545,137
22796,137
23047,137
23297,137
23547,137
23797,136
24048,137
24299,137
24549,138
24800,137
25051,138
25300,137
25551,137
25802,137
26052,137
26303,137
26554,136
26804,138
27055,137
27305,137
27555,136
27806,137
28057,137
28307,138
28558,138
28809,137
29059,137
29309,138
29560,137
29810,137
30061,137
30312,136
30562,138
30813,136
31064,138
31313,137
31564,136
31815,136
32065,137
32316,137
32567,137
32817,137
33068,137
33318,137
33568,137
33819,138
34070,137
34320,138
34571,136
34822,138
35072,138
35322,137
35573,137
35823,138
36074,137
36324,137
36575,136
36826,136
37075,138
37326,138
37577,137
37827,137
38078,137
38329,137
38579,138
38830,137
39080,138
39330,137
39581,136
39832,137
40082,137
40333,137
40584,137
40834,137
41084,136
41335,138
41585,137
41836,137
42087,137
42337,137
42588,137
42839,137
43088,138
43339,136
43590,138
43840,136
44091,137
44342,137
44592,138
44843,137
45093,137
45343,137
45594,137
45845,137
46095,137
46346,138
46597,137
46846,137
47097,136
47348,138
47598,137
47849,137
48099,136
48350,138
48601,136
48850,137
49101,136
49352,137
49602,136
49853,136
