time,value
0,116
249,118
500,116
750,117
1001,116
1252,118
1502,117
1753,117
2002,116
2253,117
2504,118
2754,116
3005,117
3255,116
3506,118
3757,116
4006,118
4257,116
4508,118
4758,116
5009,118
5259,115
5510,117
5761,118
6010,117
6261,118
6512,117
6762,118
7013,115
7263,118
7514,118
7764,119
8014,117
8265,118
8515,118
8766,116
9017,118
9267,118
9518,119
9768,118
10018,119
10269,118
10520,118
10770,117
11021,118
11271,119
11522,118
11772,118
12022,119
12273,118
12524,118
12774,118
13025,118
13276,118
13526,118
13776,118
14027,119
14277,119
14528,119
14779,119
15029,118
15280,118
15531,118
15780,118
16031,119
16282,118
16532,118
16783,119
17034,119
17284,119
17534,119
17785,118
18035,118
18286,119
18537,119
18787,118
19038,119
19289,118
19538,118
19789,119
20040,118
20290,119
20541,119
20792,118
21042,119
21293,118
21543,119
21793,119
22044,120
22295,119
22545,119
22796,120
23047,119
23297,120
23547,119
23797,120
24048,119
24299,120
24549,119
24800,119
25051,119
25300,119
25551,119
25802,119
26052,119
26303,119
26554,120
26804,120
27055,121
27305,119
27555,120
27806,119
28057,120
28307,120
28558,119
28809,118
29059,120
29309,120
29560,119
29810,120
30061,120
30312,120
30562,119
30813,121
31064,120
31313,120
31564,120
31815,120
32065,120
32316,120
32567,120
32817,121
33068,120
33318,120
33568,120
33819,120
34070,120
34320,121
34571,121
34822,120
35072,119
35322,120
35573,120
35823,120
36074,120
36325,120
36575,120
36826,121
37075,121
37326,121
37577,121
37827,121
38078,119
38329,121
38579,121
38830,121
39080,120
39330,120
39581,121
39832,120
40082,122
40333,120
40584,121
40834,121
41084,121
41335,119
41585,121
41836,120
42087,120
42337,121
42588,120
42839,121
43088,121
43339,121
43590,120
43840,121
44091,121
44342,120
44592,121
44843,122
45093,108
45343,121
45594,121
45845,120
46095,121
46346,121
46597,121
46846,122
47097,122
47348,120
47598,121
47849,121
48100,121
48350,120
48601,121
48851,120
49101,124
49352,120
49602,121
49853,121
